fringes seen,angle
2,1
3,2
4,3
5,4
6,5
8,6
10,7
12,8
14,9
17,10
20,11
23,12
26,13
31,14
36,15
41,16
45,17
50,18
55,19
62,20
69,21
75,22
83,23
93,24
103,25
114,26
126,27
137,28
149,29
162,30
