fringes seen,angle
2,1
3,2
4,3
5,4
6,5
8,6
10,7
12,8
15,9
18,10
21,11
24,12
28,13
32,14
37,15
41,16
46,17
51,18
56,19
63,20
70,21
79,22
88,23
97,24
105,25
115,26
123,27
134,28
150,29
162,30
