fringes seen,angle
2,1
3,2
4,3
5,4
6,5
8,6
10,7
12,8
15,9
18,10
21,11
25,12
30,13
35,14
39,15
45,16
50,17
56,18
62,19
69,20
78,21
86,22
95,23
103,24
110,25
118,26
127,27
137,28
149,29
161,30
