fringes seen,angle
2,1
3,2
4,3
5,4
7,5
8,6
10,7
12,8
14,9
17,10
20,11
23,12
27,13
32,14
37,15
42,16
47,17
51,18
56,19
63,20
69,21
76,22
83,23
91,24
101,25
112,26
124,27
136,28
149,29
163,30
